year,host,winner,second,third,fourth
2015,England,Deutschland,England,Costa Rica,Mexiko
2018,Marokko,Brasilien,Marokko,Frankreich,England
2019,Australien,Ghana,Portugal,Schweiz,Kroatien
2020,Kanada,Brasilien,Uruguay,Kolumbien,Marokko
2022,Portugal,Brasilien,Portugal,Frankreich,Spanien
2025,Kolumbien,,,,
